CODIGO;DESCRICAO
6323;EXTRATIVISTAS FLORESTAIS DE ESPÉCIES PRODUTORAS DE FIBRAS, CERAS E ÓLEOS
6324;EXTRATIVISTAS FLORESTAIS DE ESPÉCIES PRODUTORAS DE ALIMENTOS SILVESTRES
6325;EXTRATIVISTAS FLORESTAIS DE ESPÉCIES PRODUTORAS DE SUBSTÂNCIAS AROMÁTICAS, MEDICINAIS E
6326;CARVOEJADORES
6410;TRABALHADORES DA MECANIZAÇÃO AGRÍCOLA
6420;TRABALHADORES DA MECANIZAÇÃO FLORESTAL
6430;TRABALHADORES DA IRRIGAÇÃO E DRENAGEM
7101;SUPERVISORES DA EXTRAÇÃO MINERAL
7102;SUPERVISORES DA CONSTRUÇÃO CIVIL
7111;TRABALHADORES DA EXTRAÇÃO DE MINERAIS SÓLIDOS
7112;TRABALHADORES DE EXTRAÇÃO DE MINERAIS SÓLIDOS (OPERADORES DE MÁQUINAS)
7113;TRABALHADORES DA EXTRAÇÃO DE MINERAIS LÍQUIDOS E GASOSOS
7114;GARIMPEIROS E OPERADORES DE SALINAS
7121;TRABALHADORES DE BENEFICIAMENTO DE MINÉRIOS
7122;TRABALHADORES DE BENEFICIAMENTO DE PEDRAS ORNAMENTAIS
7151;TRABALHADORES NA OPERAÇÃO DE MÁQUINAS DE TERRAPLENAGEM E FUNDAÇÕES
7152;TRABALHADORES DE ESTRUTURAS DE ALVENARIA
7153;MONTADORES DE ESTRUTURAS DE CONCRETO ARMADO
7154;TRABALHADORES NA OPERAÇÃO DE MÁQUINAS DE CONCRETO USINADO
7155;TRABALHADORES DE MONTAGEM DE ESTRUTURAS DE MADEIRA, METAL E COMPÓSITOS EM OBRAS CIVIS
7156;TRABALHADORES DE INSTALAÇÕES ELÉTRICAS
7157;APLICADORES DE MATERIAIS ISOLANTES
7161;REVESTIDORES DE CONCRETO
7162;TELHADORES (REVESTIMENTOS RÍGIDOS)
7163;VIDRACEIROS (REVESTIMENTOS RÍGIDOS)
7164;GESSEIROS
7165;APLICADORES DE REVESTIMENTOS CERÂMICOS, PASTILHAS, PEDRAS E MADEIRAS
7166;PINTORES DE OBRAS E REVESTIDORES DE INTERIORES (REVESTIMENTOS FLEXÍVEIS)
7170;AJUDANTES DE OBRAS CIVIS
7201;SUPERVISORES DE USINAGEM, CONFORMAÇÃO E TRATAMENTO DE METAIS
7202;SUPERVISORES DA FABRICAÇÃO E MONTAGEM METALMECÂNICA
7211;FERRAMENTEIROS E AFINS
7212;PREPARADORES E OPERADORES DE MÁQUINAS-FERRAMENTA CONVENCIONAIS
7213;AFIADORES E POLIDORES DE METAIS
7214;OPERADORES DE MÁQUINAS DE USINAGEM CNC
7221;TRABALHADORES DE FORJAMENTO DE METAIS
7222;TRABALHADORES DE FUNDIÇÃO DE METAIS PUROS E DE LIGAS METÁLICAS
7223;TRABALHADORES DE MOLDAGEM DE METAIS E DE LIGAS METÁLICAS
7224;TRABALHADORES DE TREFILAÇÃO E ESTIRAMENTO DE METAIS PUROS E LIGAS METÁLICAS
7231;TRABALHADORES DE TRATAMENTO TÉRMICO DE METAIS
7232;TRABALHADORES DE TRATAMENTO DE SUPERFÍCIES DE METAIS E DE COMPÓSITOS (TERMOQUÍMICOS)
7233;TRABALHADORES DA PINTURA DE EQUIPAMENTOS, VEÍCULOS, ESTRUTURAS METÁLICAS E DE COMPÓSITOS
7241;ENCANADORES E INSTALADORES DE TUBULAÇÕES
7242;TRABALHADORES DE TRAÇAGEM E MONTAGEM DE ESTRUTURAS METÁLICAS E DE COMPÓSITOS
7243;TRABALHADORES DE SOLDAGEM E CORTE DE LIGAS METÁLICAS
7244;TRABALHADORES DE CALDEIRARIA E SERRALHERIA
7245;OPERADORES DE MÁQUINAS DE CONFORMAÇÃO DE METAIS
7246;TRANÇADORES E LACEIROS DE CABOS DE AÇO
7250;AJUSTADORES MECÂNICOS POLIVALENTES
7251;MONTADORES DE MÁQUINAS, APARELHOS E ACESSÓRIOS EM LINHAS DE MONTAGEM
7252;MONTADORES DE MÁQUINAS INDUSTRIAIS
7253;MONTADORES DE MÁQUINAS PESADAS E EQUIPAMENTOS AGRÍCOLAS
7254;MECÂNICOS MONTADORES DE MOTORES E TURBOALIMENTADORES
7255;MONTADORES DE VEÍCULOS AUTOMOTORES (LINHA DE MONTAGEM)
7256;MONTADORES DE SISTEMAS E ESTRUTURAS DE AERONAVES
7257;INSTALADORES DE EQUIPAMENTOS DE REFRIGERAÇÃO E VENTILAÇÃO
7301;SUPERVISORES DE MONTAGENS E INSTALAÇÕES ELETROELETRÔNICAS
7311;MONTADORES DE EQUIPAMENTOS ELETROELETRÔNICOS
7312;MONTADORES DE APARELHOS DE TELECOMUNICAÇÕES
7313;INSTALADORES-REPARADORES DE LINHAS E EQUIPAMENTOS DE TELECOMUNICAÇÕES
7321;INSTALADORES E REPARADORES DE LINHAS E CABOS ELÉTRICOS, TELEFÔNICOS E DE COMUNICAÇÃO DE
7401;SUPERVISORES DA MECÂNICA DE PRECISÃO E INSTRUMENTOS MUSICAIS
7411;MECÂNICOS DE INSTRUMENTOS DE PRECISÃO
7421;CONFECCIONADORES DE INSTRUMENTOS MUSICAIS
7501;SUPERVISORES DE JOALHERIA E AFINS
7502;SUPERVISORES DE VIDRARIA, CERÂMICA E AFINS
7510;JOALHEIROS E LAPIDADORES DE GEMAS
7511;ARTESÃOS DE METAIS PRECIOSOS E SEMI-PRECIOSOS
7521;SOPRADORES, MOLDADORES E MODELADORES DE VIDROS E AFINS
7522;TRABALHADORES DA TRANSFORMAÇÃO DE VIDROS PLANOS
7523;CERAMISTAS (PREPARAÇÃO E FABRICAÇÃO)
7524;VIDREIROS E CERAMISTAS (ARTE E DECORAÇÃO)
7601;SUPERVISORES DA INDÚSTRIA TÊXTIL
7602;SUPERVISORES NA INDÚSTRIA DO CURTIMENTO
7603;SUPERVISORES NA CONFECÇÃO DO VESTUÁRIO
7604;SUPERVISORES NA CONFECÇÃO DE CALÇADOS
7605;SUPERVISORES DA CONFECÇÃO DE ARTEFATOS DE TECIDOS, COUROS E AFINS
7606;SUPERVISORES DAS ARTES GRÁFICAS
7610;TRABALHADORES POLIVALENTES DAS INDÚSTRIAS TÊXTEIS
7611;TRABALHADORES DA CLASSIFICAÇÃO DE FIBRAS TÊXTEIS E LAVAGEM DE LÃ
7612;OPERADORES DA FIAÇÃO
7613;OPERADORES DE TEAR E MÁQUINAS SIMILARES
7614;TRABALHADORES DE ACABAMENTO, TINGIMENTO E ESTAMPARIA DAS INDÚSTRIAS TÊXTEIS
7618;INSPETORES E REVISORES DE PRODUÇÃO TÊXTIL
7620;TRABALHADORES POLIVALENTES DO CURTIMENTO DE COUROS E PELES
7621;TRABALHADORES DA PREPARAÇÃO DO CURTIMENTO DE COUROS E PELES
7622;TRABALHADORES DO CURTIMENTO DE COUROS E PELES
7623;TRABALHADORES DO ACABAMENTO DE COUROS E PELES
7630;PROFISSIONAIS POLIVALENTES DA CONFECÇÃO DE ROUPAS
7631;TRABALHADORES DA PREPARAÇÃO DA CONFECÇÃO DE ROUPAS
7632;OPERADORES DE MÁQUINAS PARA COSTURA DE PEÇAS DO VESTUÁRIO
7633;OPERADORES DE MÁQUINAS PARA BORDADO E ACABAMENTO DE ROUPAS
7640;TRABALHADORES POLIVALENTES DA CONFECÇÃO DE CALÇADOS
7641;TRABALHADORES DA PREPARAÇÃO DA CONFECÇÃO DE CALÇADOS
7642;OPERADORES DE MÁQUINAS DE COSTURAR E MONTAR CALÇADOS
7643;TRABALHADORES DE ACABAMENTO DE CALÇADOS
7650;TRABALHADORES POLIVALENTES DA CONFECÇÃO DE ARTEFATOS DE TECIDOS E COUROS
7651;TRABALHADORES DA PREPARAÇÃO DE ARTEFATOS DE TECIDOS, COUROS E TAPEÇARIA
7652;TRABALHADORES DA CONFECÇÃO DE ARTEFATOS DE TECIDOS, COUROS E SINTÉTICOS
7653;OPERADORES DE MÁQUINAS NA CONFECÇÃO DE ARTEFATOS DE COURO
7654;TRABALHADORES DO ACABAMENTO DE ARTEFATOS DE TECIDOS E COUROS
7661;TRABALHADORES DA PRÉ-IMPRESSÃO GRÁFICA
7662;TRABALHADORES DA IMPRESSÃO GRÁFICA
7663;TRABALHADORES DO ACABAMENTO GRÁFICO
7664;TRABALHADORES DE LABORATÓRIO FOTOGRÁFICO E RADIOLÓGICO
7681;TRABALHADORES DE TECELAGEM MANUAL, TRICÔ, CROCHÊ, RENDAS E AFINS
7682;TRABALHADORES ARTESANAIS DA CONFECÇÃO DE PEÇAS E TECIDOS
7683;TRABALHADORES ARTESANAIS DA CONFECÇÃO DE CALÇADOS E ARTEFATOS DE COUROS E PELES
7686;TRABALHADORES TIPOGRÁFICOS LINOTIPISTAS E AFINS
7687;ENCADERNADORES E RECUPERADORES DE LIVROS (PEQUENOS LOTES OU A UNIDADE)
7701;SUPERVISORES EM INDÚSTRIA DE MADEIRA, MOBILIÁRIO E DA CARPINTARIA VEICULAR
7711;MARCENEIROS E AFINS
7721;TRABALHADORES DE TRATAMENTO E PREPARAÇÃO DA MADEIRA
7731;OPERADORES DE MÁQUINAS DE DESDOBRAMENTO DA MADEIRA
7732;OPERADORES DE MÁQUINAS DE AGLOMERAÇÃO E PRENSAGEM DE CHAPAS
7733;OPERADORES DE USINAGEM CONVENCIONAL DE MADEIRA
7734;OPERADORES DE MÁQUINA DE USINAR MADEIRA (PRODUÇÃO EM SÉRIE)
7735;OPERADORES DE MÁQUINAS DE USINAGEM DE MADEIRA CNC
7741;MONTADORES DE MÓVEIS E ARTEFATOS DE MADEIRA
7751;TRABALHADORES DE ARTE E DO ACABAMENTO EM MADEIRA DO MOBILIÁRIO
7764;CONFECCIONADORES DE ARTEFATOS DE MADEIRA, MÓVEIS DE VIME E AFINS
7771;CARPINTEIROS NAVAIS
7772;CARPINTEIROS DE CARROCERIAS E CARRETAS
7801;SUPERVISORES DE TRABALHADORES DE EMBALAGEM E ETIQUETAGEM
7811;CONDUTORES DE PROCESSOS ROBOTIZADOS
7813;OPERADORES DE VEÍCULOS SUBAQUÁTICOS CONTROLADOS REMOTAMENTE
7817;TRABALHADORES SUBAQUÁTICOS
7821;OPERADORES DE MÁQUINAS E EQUIPAMENTOS DE ELEVAÇÃO
7822;OPERADORES DE EQUIPAMENTOS DE MOVIMENTAÇÃO DE CARGAS
7823;MOTORISTAS DE VEÍCULOS DE PEQUENO E MÉDIO PORTE
7824;MOTORISTAS DE ÔNIBUS URBANOS, METROPOLITANOS E RODOVIÁRIOS
7825;MOTORISTAS DE VEÍCULOS DE CARGAS EM GERAL
7826;OPERADORES DE VEÍCULOS SOBRE TRILHOS E CABOS AÉREOS
7827;TRABALHADORES AQUAVIÁRIOS
7828;CONDUTORES DE ANIMAIS E DE VEÍCULOS DE TRAÇÃO ANIMAL E PEDAIS
7831;TRABALHADORES DE MANOBRAS DE TRANSPORTES SOBRE TRILHOS
7832;TRABALHADORES DE CARGAS E DESCARGAS DE MERCADORIAS
7841;TRABALHADORES DE EMBALAGEM E DE ETIQUETAGEM
7842;ALIMENTADORES DE LINHAS DE PRODUÇÃO
7911;ARTESÃOS
8101;SUPERVISORES DE PRODUÇÃO EM INDÚSTRIAS QUÍMICAS, PETROQUÍMICAS E AFINS
8102;SUPERVISORES DE PRODUÇÃO EM INDÚSTRIAS DE TRANSFORMAÇÃO DE PLÁSTICOS E BORRACHAS
8103;SUPERVISORES DE PRODUÇÃO EM INDÚSTRIAS DE PRODUTOS FARMACÊUTICOS, COSMÉTICOS E AFINS
8110;OPERADORES POLIVALENTES DE EQUIPAMENTOS EM INDÚSTRIAS QUÍMICAS, PETROQUÍMICAS E AFINS
8111;OPERADORES DE EQUIPAMENTOS DE MOAGEM E MISTURA DE MATERIAIS (TRATAMENTOS QUÍMICOS E AFIN
8112;OPERADORES DE CALCINAÇÃO E DE TRATAMENTOS QUÍMICOS DE MATERIAIS RADIOATIVOS
8113;OPERADORES DE EQUIPAMENTOS DE FILTRAGEM E SEPARAÇÃO
8114;OPERADORES DE EQUIPAMENTOS DE DESTILAÇÃO, EVAPORAÇÃO E REAÇÃO
8115;OPERADORES DE EQUIPAMENTOS DE PRODUÇÃO E REFINO DE PETRÓLEO E GÁS
8116;OPERADORES DE EQUIPAMENTOS DE COQUEIFICAÇÃO
8117;OPERADORES DE INSTALAÇÕES E MÁQUINAS DE PRODUTOS PLÁSTICOS, DE BORRACHA E MOLDADORES D
8118;OPERADORES DE MÁQUINAS E INSTALAÇÕES DE PRODUTOS FARMACÊUTICOS, COSMÉTICOS E AFINS
8121;TRABALHADORES DA FABRICAÇÃO DE MUNIÇÃO E EXPLOSIVOS QUÍMICOS
8131;OPERADORES DE PROCESSOS DAS INDÚSTRIAS DE TRANSFORMAÇÃO DE PRODUTOS QUÍMICOS,
8181;LABORATORISTAS INDUSTRIAIS AUXILIARES
8201;SUPERVISORES DE PRODUÇÃO EM INDÚSTRIAS SIDERÚRGICAS
8202;SUPERVISORES NA FABRICAÇÃO DE MATERIAIS PARA CONSTRUÇÃO (VIDROS E CERÂMICAS)
8211;OPERADORES DE INSTALAÇÕES DE SINTERIZAÇÃO
8212;OPERADORES DE FORNOS DE PRIMEIRA FUSÃO E ACIARIA
8213;OPERADORES DE EQUIPAMENTOS DE LAMINAÇÃO
8214;OPERADORES DE EQUIPAMENTOS DE ACABAMENTO DE CHAPAS E METAIS
8221;FORNEIROS METALÚRGICOS (SEGUNDA FUSÃO E REAQUECIMENTO)
8231;OPERADORES NA PREPARAÇÃO DE MASSAS PARA ABRASIVO, VIDRO, CERÂMICA, PORCELANA E MATERIAIS
8232;OPERADORES DE EQUIPAMENTOS DE FABRICAÇÃO E BENEFICIAMENTO DE CRISTAIS, VIDROS, CERÂMICAS
8233;OPERADORES DE INSTALAÇÕES E EQUIPAMENTOS DE FABRICAÇÃO DE MATERIAIS DE CONSTRUÇÃO
8281;TRABALHADORES DA FABRICAÇÃO DE CERÂMICA ESTRUTURAL PARA CONSTRUÇÃO
8301;SUPERVISORES DA FABRICAÇÃO DE CELULOSE E PAPEL
8311;PREPARADORES DE PASTA PARA FABRICAÇÃO DE PAPEL
8321;OPERADORES DE MÁQUINAS DE FABRICAR PAPEL E PAPELÃO
8331;OPERADORES DE MÁQUINAS NA FABRICAÇÃO DE PRODUTOS DE PAPEL E PAPELÃO
8332;TRABALHADORES ARTESANAIS DE PRODUTOS DE PAPEL E PAPELÃO
8401;SUPERVISORES DA FABRICAÇÃO DE ALIMENTOS, BEBIDAS E FUMO
8411;TRABALHADORES DA INDÚSTRIA DE BENEFICIAMENTO DE GRÃOS, CEREAIS E AFINS
8412;TRABALHADORES NO BENEFICIAMENTO DO SAL
8413;TRABALHADORES NA FABRICAÇÃO E REFINO DE AÇÚCAR
8414;TRABALHADORES NA FABRICAÇÃO E CONSERVAÇÃO DE ALIMENTOS
8415;TRABALHADORES NA PASTEURIZAÇÃO DO LEITE E NA FABRICAÇÃO DE LATICÍNIOS E AFINS
8416;TRABALHADORES NA INDUSTRIALIZAÇÃO DE CAFÉ, CACAU, MATE E DE PRODUTOS AFINS
8417;TRABALHADORES NA FABRICAÇÃO DE CACHAÇA, CERVEJA, VINHOS E OUTRAS BEBIDAS
8418;OPERADORES DE EQUIPAMENTOS NA FABRICAÇÃO DE PÃES, MASSAS ALIMENTÍCIAS, DOCES, CHOCOLATES
8421;CIGARREIROS E BENEFICIADORES DE FUMO
8422;CHARUTEIROS
8481;TRABALHADORES ARTESANAIS NA CONSERVAÇÃO DE ALIMENTOS
8482;TRABALHADORES ARTESANAIS NA PASTEURIZAÇÃO DO LEITE E NA FABRICAÇÃO DE LATICÍNIOS E AFINS
8483;PADEIROS, CONFEITEIROS E AFINS
8484;TRABALHADORES NA DEGUSTAÇÃO E CLASSIFICAÇÃO DE GRÃOS E AFINS
8485;MAGAREFES E AFINS
8486;TRABALHADORES ARTESANAIS NA INDÚSTRIA DO FUMO
8601;SUPERVISORES DA PRODUÇÃO DE UTILIDADES
8611;OPERADORES DE INSTALAÇÕES DE GERAÇÃO E DISTRIBUIÇÃO DE ENERGIA ELÉTRICA, HIDRÁULICA, TÉRMIC
8612;OPERADORES DE INSTALAÇÕES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
8621;OPERADORES DE MÁQUINAS A VAPOR E UTILIDADES
8622;OPERADORES DE INSTALAÇÕES DE CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA
8623;OPERADORES DE INSTALAÇÕES DE CAPTAÇÃO E ESGOTOS
8624;OPERADORES DE INSTALAÇÕES DE EXTRAÇÃO, PROCESSAMENTO, ENVASAMENTO E DISTRIBUIÇÃO DE GAS
8625;OPERADORES DE INSTALAÇÕES DE REFRIGERAÇÃO E AR-CONDICIONADO
9101;SUPERVISORES EM SERVIÇOS DE REPARAÇÃO E MANUTENÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRI
9102;SUPERVISORES EM SERVIÇOS DE REPARAÇÃO E MANUTENÇÃO VEICULAR
9109;SUPERVISORES DE OUTROS TRABALHADORES DE SERVIÇOS DE REPARAÇÃO, CONSERVAÇÃO E MANUTENÇ
9111;MECÂNICOS DE MANUTENÇÃO DE BOMBAS, MOTORES, COMPRESSORES E EQUIPAMENTOS DE TRANSMISSÃ
9112;MECÂNICOS DE MANUTENÇÃO E INSTALAÇÃO DE APARELHOS DE CLIMATIZAÇÃO E REFRIGERAÇÃO
9113;MECÂNICOS DE MANUTENÇÃO DE MÁQUINAS INDUSTRIAIS
9131;MECÂNICOS DE MANUTENÇÃO DE MÁQUINAS PESADAS E EQUIPAMENTOS AGRÍCOLAS
9141;MECÂNICOS DE MANUTENÇÃO AERONÁUTICA
9142;MECÂNICOS DE MANUTENÇÃO DE MOTORES E EQUIPAMENTOS NAVAIS
9143;MECÂNICOS DE MANUTENÇÃO METROFERROVIÁRIA
9144;MECÂNICOS DE MANUTENÇÃO DE VEÍCULOS AUTOMOTORES
9151;TÉCNICOS EM MANUTENÇÃO E REPARAÇÃO DE INSTRUMENTOS DE MEDIÇÃO E PRECISÃO
9152;RESTAURADORES DE INSTRUMENTOS MUSICAIS
9153;TÉCNICOS EM MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS BIOMÉDICOS
9154;REPARADORES DE EQUIPAMENTOS FOTOGRÁFICOS
9191;LUBRIFICADORES
9192;TRABALHADORES DE MANUTENÇÃO DE ROÇADEIRAS, MOTOSERRAS E SIMILARES
9193;MECÂNICOS DE MANUTENÇÃO DE BICICLETAS E EQUIPAMENTOS ESPORTIVOS E DE GINÁSTICA
9501;SUPERVISORES DE MANUTENÇÃO ELETROELETRÔNICA INDUSTRIAL, COMERCIAL E PREDIAL
9502;SUPERVISORES DE MANUTENÇÃO ELETROELETRÔNICA VEICULAR
9503;SUPERVISORES DE MANUTENÇÃO ELETROMECÂNICA
9511;ELETRICISTAS DE MANUTENÇÃO ELETROELETRÔNICA
9513;INSTALADORES E MANTENEDORES DE SISTEMAS ELETROELETRÔNICOS DE SEGURANÇA
9531;ELETRICISTAS ELETRÔNICOS DE MANUTENÇÃO VEICULAR (AÉREA, TERRESTRE E NAVAL)
9541;INSTALADORES E MANTENEDORES ELETROMECÂNICOS DE ELEVADORES, ESCADAS E PORTAS AUTOMÁTIC
9542;REPARADORES DE APARELHOS ELETRODOMÉSTICOS
9543;REPARADORES DE EQUIPAMENTOS DE ESCRITÓRIO
9911;CONSERVADORES DE VIAS PERMANENTES (TRILHOS)
9912;MANTENEDORES DE EQUIPAMENTOS DE PARQUES DE DIVERSÕES E SIMILARES
9913;REPARADORES DE CARROCERIAS DE VEÍCULOS
9921;TRABALHADORES ELEMENTARES DE SERVIÇOS DE MANUTENÇÃO VEICULAR
9922;TRABALHADORES OPERACIONAIS DE CONSERVAÇÃO DE VIAS PERMANENTES (EXCETO TRILHOS)
