CODIGO;DESCRICAO
2149;ENGENHEIROS DE PRODUÇÃO, QUALIDADE, SEGURANÇA E AFINS
2151;OFICIAIS DE CONVÉS E AFINS
2152;OFICIAIS DE MÁQUINAS DA MARINHA MERCANTE
2153;PROFISSIONAIS DA PILOTAGEM AERONÁUTICA
2211;BIÓLOGOS E AFINS
2212;BIOMÉDICOS
2221;ENGENHEIROS AGROSSILVIPECUÁRIOS
2222;ENGENHEIROS DE ALIMENTOS E AFINS
2232;CIRURGIÕES-DENTISTAS
2233;VETERINÁRIOS E ZOOTECNISTAS
2234;FARMACÊUTICOS
2235;ENFERMEIROS E AFINS
2236;FISIOTERAPEUTAS
2237;NUTRICIONISTAS
2238;FONOAUDIÓLOGOS
2239;TERAPEUTAS OCUPACIONAIS E ORTOPTISTAS
2241;PROFISSIONAIS DA EDUCAÇÃO FÍSICA
2251;MÉDICOS CLÍNICOS
2252;MÉDICOS EM ESPECIALIDADES CIRÚRGICAS
2253;MÉDICOS EM MEDICINA DIAGNÓSTICA E TERAPÊUTICA
2261;OSTEOPATAS E QUIROPRAXISTAS
2263;PROFISSIONAIS DAS TERAPIAS CRIATIVAS,EQUOTERÁPICAS E NATUROLÓGICAS
2311;PROFESSORES DE NÍVEL SUPERIOR NA EDUCAÇÃO INFANTIL
2312;PROFESSORES DE NÍVEL SUPERIOR DO ENSINO FUNDAMENTAL (PRIMEIRA A QUARTA SÉRIES)
2313;PROFESSORES DE NÍVEL SUPERIOR NO ENSINO FUNDAMENTAL DE QUINTA A OITAVA SÉRIE
2321;PROFESSORES DO ENSINO MÉDIO
2331;PROFESSORES DO ENSINO PROFISSIONAL
2332;INSTRUTORES DE ENSINO PROFISSIONAL
2341;PROFESSORES DE MATEMÁTICA, ESTATÍSTICA E INFORMÁTICA DO ENSINO SUPERIOR
2342;PROFESSORES DE CIÊNCIAS FÍSICAS, QUÍMICAS E AFINS DO ENSINO SUPERIOR
2343;PROFESSORES DE ARQUITETURA E URBANISMO, ENGENHARIA, GEOFÍSICA E GEOLOGIA DO ENSINO SUPER
2344;PROFESSORES DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE DO ENSINO SUPERIOR
2345;PROFESSORES NA ÁREA DE FORMAÇÃO PEDAGÓGICA DO ENSINO SUPERIOR
2346;PROFESSORES NAS ÁREAS DE LÍNGUA E LITERATURA DO ENSINO SUPERIOR
2347;PROFESSORES DE CIÊNCIAS HUMANAS DO ENSINO SUPERIOR
2348;PROFESSORES DE CIÊNCIAS ECONÔMICAS, ADMINISTRATIVAS E CONTÁBEIS DO ENSINO SUPERIOR
2349;PROFESSORES DE ARTES DO ENSINO SUPERIOR
2392;PROFESSORES DE EDUCAÇÃO ESPECIAL
2394;PROGRAMADORES, AVALIADORES E ORIENTADORES DE ENSINO
2410;ADVOGADOS
2412;PROCURADORES E ADVOGADOS PÚBLICOS
2413;TABELIÃES E REGISTRADORES
2422;MEMBROS DO MINISTÉRIO PÚBLICO
2423;DELEGADOS DE POLÍCIA
2424;DEFENSORES PÚBLICOS E PROCURADORES DA ASSISTÊNCIA JUDICIÁRIA
2429;PROFISSIONAIS DA INTELIGÊNCIA
2511;PROFISSIONAIS EM PESQUISA E ANÁLISE ANTROPOLÓGICA SOCIOLÓGICA
2512;ECONOMISTAS
2513;PROFISSIONAIS EM PESQUISA E ANÁLISE GEOGRÁFICA
2514;FILÓSOFOS
2515;PSICÓLOGOS E PSICANALISTAS
2516;ASSISTENTES SOCIAIS E ECONOMISTAS DOMÉSTICOS
2521;ADMINISTRADORES
2522;CONTADORES E AFINS
2523;SECRETÁRIAS(OS) EXECUTIVAS(OS) E AFINS
2524;PROFISSIONAIS DE RECURSOS HUMANOS
2525;PROFISSIONAIS DE ADMINISTRAÇÃO ECÔNOMICO-FINANCEIRA
2526;PROFISSIONAIS DA ADMINISTRAÇÃO DOS SERVIÇOS DE SEGURANÇA
2527;PROFISSIONAIS DE PLANEJAMENTO, PROGRAMAÇÃO E CONTROLES LOGISTICOS
2531;PROFISSIONAIS DE PUBLICIDADE
2532;PROFISSIONAIS DE COMERCIALIZACÃO E CONSULTORIA DE SERVIÇOS BANCÁRIOS
2533;CORRETORES DE VALORES, ATIVOS FINANCEIROS, MERCADORIAS E DERIVATIVOS
2541;AUDITORES FISCAIS E TÉCNICOS DA RECEITA FEDERAL
2542;AUDITORES FISCAIS DA PREVIDÊNCIA SOCIAL
2543;AUDITORES FISCAIS DO TRABALHO
2544;FISCAIS DE TRIBUTOS ESTADUAIS E MUNICIPAIS
2545;PROFISSIONAIS DA FISCALIZAÇÃO DE ATIVIDADES URBANAS
2611;PROFISSIONAIS DO JORNALISMO
2612;PROFISSIONAIS DA INFORMAÇÃO
2613;ARQUIVISTAS E MUSEÓLOGOS
2614;FILÓLOGOS,TRADUTORES ,INTÉRPRETES E AFINS
2615;PROFISSIONAIS DA ESCRITA
2616;EDITORES
2617;LOCUTORES, COMENTARISTAS E REPÓRTERES DE RÁDIO E TELEVISÃO
2618;FOTÓGRAFOS PROFISSIONAIS
2621;PRODUTORES ARTÍSTICOS E CULTURAIS
2622;DIRETORES DE ESPETÁCULOS E AFINS
2623;CENÓGRAFOS
2624;ARTISTAS VISUAIS,DESENHISTAS INDUSTRIAIS E CONSERVADORES-RESTAURADORES DE BENS CULTURAIS
2625;ATORES
2626;MÚSICOS COMPOSITORES, ARRANJADORES, REGENTES E MUSICÓLOGOS
2627;MÚSICOS INTÉRPRETES
2628;ARTISTAS DA DANÇA (EXCETO DANÇA TRADICIONAL E POPULAR)
2629;DESIGNER DE INTERIORES DE NÍVEL SUPERIOR
2631;MINISTROS DE CULTO, MISSIONÁRIOS, TEÓLOGOS E PROFISSIONAIS ASSEMELHADOS
2711;CHEFES DE COZINHA E AFINS
3001;TÉCNICOS EM MECATRÔNICA
3003;TÉCNICOS EM ELETROMECÂNICA
3011;TÉCNICOS DE LABORATÓRIO INDUSTRIAL
3012;TÉCNICOS DE APOIO À BIOENGENHARIA
3111;TÉCNICOS QUÍMICOS
3112;TÉCNICOS DE PRODUÇÃO DE INDÚSTRIAS QUÍMICAS, PETROQUÍMICAS, REFINO DE PETRÓLEO, GÁS E AFINS
3113;TÉCNICOS EM MATERIAIS, PRODUTOS CERÂMICOS E VIDROS
3114;TÉCNICOS EM FABRICAÇÃO DE PRODUTOS PLÁSTICOS E DE BORRACHA
3115;TÉCNICOS EM CONTROLE AMBIENTAL, UTILIDADES E TRATAMENTO DE EFLUENTES
3116;TÉCNICOS TÊXTEIS
3117;COLORISTAS
3121;TÉCNICOS EM CONSTRUÇÃO CIVIL (EDIFICAÇÕES)
3122;TÉCNICOS EM CONSTRUÇÃO CIVIL (OBRAS DE INFRAESTRUTURA)
3123;TÉCNICOS EM GEOMÁTICA
3131;TÉCNICOS EM ELETRICIDADE E ELETROTÉCNICA
3132;TÉCNICOS EM ELETRÔNICA
3133;TÉCNICOS EM TELECOMUNICAÇÕES
3134;TÉCNICOS EM CALIBRAÇÃO E INSTRUMENTAÇÃO
3135;TÉCNICOS EM FOTÔNICA
3141;TÉCNICOS MECÂNICOS NA FABRICAÇÃO E MONTAGEM DE MÁQUINAS, SISTEMAS E INSTRUMENTOS
3142;TÉCNICOS MECÂNICOS (FERRAMENTAS)
3143;TÉCNICOS EM MECÂNICA VEICULAR
3144;TÉCNICOS MECÂNICOS NA MANUTENÇÃO DE MÁQUINAS, SISTEMAS E INSTRUMENTOS
3146;TÉCNICOS EM METALURGIA (ESTRUTURAS METÁLICAS)
3147;TÉCNICOS EM SIDERURGIA
3161;TÉCNICOS EM GEOLOGIA
3163;TÉCNICOS EM MINERAÇÃO
3171;TÉCNICOS DE DESENVOLVIMENTO DE SISTEMAS E APLICAÇÕES
3172;TÉCNICOS EM OPERAÇÃO E MONITORAÇÃO DE COMPUTADORES
3180;DESENHISTAS TÉCNICOS, EM GERAL
3181;DESENHISTAS TÉCNICOS DA CONSTRUÇÃO CIVIL E ARQUITETURA
3182;DESENHISTAS TÉCNICOS DA MECÂNICA
3183;DESENHISTAS TÉCNICOS EM ELETRICIDADE, ELETRÔNICA, ELETROMECÂNICA, CALEFAÇÃO, VENTILAÇÃO E
3184;DESENHISTAS TÉCNICOS DE PRODUTOS E SERVIÇOS DIVERSOS
3185;DESENHISTAS PROJETISTAS DE CONSTRUÇÃO CIVIL E ARQUITETURA
3186;DESENHISTAS PROJETISTAS DA MECÂNICA
3187;DESENHISTAS PROJETISTAS DA ELETRÔNICA
